fold,t,n_essential_group,coverage,pos_coverage,neg_coverage,Accuracy
1,0.1,0,0.598085,0.00025208300164517326,0.9596398883076034,0.6675974150831404
2,0.1,0,0.637195,8.84551311347319e-05,0.9641670891056148,0.642887969930712
3,0.1,0,0.67218,0.0008592318791239077,0.9715580875814253,0.6200199351364218
4,0.1,0,0.656605,0.001126091383087033,0.9709559530678977,0.5941700108893475
5,0.1,0,0.629875,0.00018604118665655365,0.9680225632670627,0.5812820003969041
1,0.1,>=1,0.359795,0.9547179323886854,0.0,0.4458650064620131
2,0.1,>=1,0.32642,0.9624507968333063,0.0,0.5420776913179339
3,0.1,>=1,0.298685,0.9684515993061297,0.0,0.4548772117782949
4,0.1,>=1,0.313655,0.9676827198963379,0.0,0.5184996253845786
5,0.1,>=1,0.336485,0.9630779798789301,0.0,0.5434863366866279
1,0.2,0,0.571085,0.00021228042243804065,0.916335012998684,0.6742603990649378
2,0.2,0,0.61127,7.371260927894326e-05,0.9249445785320309,0.6480605951543508
3,0.2,0,0.650545,0.0008430199568762868,0.9402821055980104,0.623623269720004
4,0.2,0,0.634585,0.001079813655014963,0.9383979167591401,0.5968546372826335
5,0.2,0,0.607085,0.00018604118665655365,0.9329941670573226,0.5833367650329031
1,0.2,>=1,0.34139,0.9058801677015337,0.0,0.44324672661765135
2,0.2,>=1,0.31218,0.9204640945880203,0.0,0.5438529053751041
3,0.2,>=1,0.288215,0.9345038341196116,0.0,0.45348090834966953
4,0.2,>=1,0.303065,0.9350106438774566,0.0,0.5189810766667217
5,0.2,>=1,0.322895,0.9241810610071983,0.0,0.545378528623856
1,0.3,0,0.53693,0.00021228042243804065,0.8615238951118529,0.6830685564226249
2,0.3,0,0.579415,7.371260927894326e-05,0.8767411420227134,0.6543496457633993
3,0.3,0,0.62467,0.0008268080346286659,0.9028752792498391,0.627227175948901
4,0.3,0,0.607795,0.0009409804707987536,0.8988266974418158,0.5992645546606997
5,0.3,0,0.57914,0.00018604118665655365,0.8900424982516542,0.5852988914597507
1,0.3,>=1,0.3189,0.8462028339436396,0.0,0.4409846346817184
2,0.3,>=1,0.294775,0.8691453760080199,0.0,0.547621066915444
3,0.3,>=1,0.275385,0.8929040416322164,0.0,0.4517675254643499
4,0.3,>=1,0.28977,0.8939931508962453,0.0,0.5208958829416434
5,0.3,>=1,0.30562,0.8747370379380912,0.0,0.5474445389699627
1,0.4,0,0.48722,0.0001990128960356631,0.781758513335687,0.6956713599605927
2,0.4,0,0.530885,5.8970087423154605e-05,0.8033124257579312,0.6629778577281332
3,0.4,0,0.585405,0.0007943841901334242,0.8461143604907567,0.6325022847430412
4,0.4,0,0.568555,0.0008021472865825441,0.8408347759184459,0.6033365285680365
5,0.4,0,0.53531,0.00018604118665655365,0.8226754685950984,0.5878929965814201
1,0.4,>=1,0.286545,0.7603486705938545,0.0,0.4381859742797815
2,0.4,>=1,0.26922,0.7937963468030841,0.0,0.5524663843696604
3,0.4,>=1,0.25595,0.8298882998557139,0.0,0.4492869701113499
4,0.4,>=1,0.27028,0.8338629562212693,0.0,0.5242711262394554
5,0.4,>=1,0.280175,0.8019090687923065,0.0,0.5535468903363969
