t,n_essential,N_total,coverage(mean±sd),pos_rate(mean±sd),Accuracy(mean±sd),F1_1(mean±sd),Precision_1(mean±sd),Recall_1(mean±sd),AUC(mean±sd)
0.1,0,60727,0.607±0.042,0.000±0.000,0.675±0.044,0.000±0.000,0.000±0.000,0.387±0.425,0.571±0.234
0.1,1,26892,0.269±0.020,1.000±0.000,0.427±0.043,0.597±0.041,1.000±0.000,0.427±0.043,nan±nan
0.1,2,3899,0.039±0.005,1.000±0.000,0.535±0.047,0.696±0.040,1.000±0.000,0.535±0.047,nan±nan
0.1,3,200,0.002±0.001,1.000±0.000,0.669±0.100,0.798±0.075,1.000±0.000,0.669±0.100,nan±nan
0.2,0,54998,0.550±0.069,0.000±0.000,0.690±0.048,0.000±0.001,0.000±0.000,0.320±0.460,0.568±0.228
0.2,1,24091,0.241±0.030,1.000±0.000,0.419±0.047,0.590±0.047,1.000±0.000,0.419±0.047,nan±nan
0.2,2,3497,0.035±0.006,1.000±0.000,0.534±0.053,0.695±0.046,1.000±0.000,0.534±0.053,nan±nan
0.2,3,175,0.002±0.001,1.000±0.000,0.673±0.108,0.801±0.082,1.000±0.000,0.673±0.108,nan±nan
0.3,0,48172,0.482±0.102,0.000±0.000,0.709±0.057,0.000±0.001,0.000±0.000,0.350±0.487,0.559±0.232
0.3,1,20942,0.209±0.045,1.000±0.000,0.407±0.057,0.577±0.057,1.000±0.000,0.407±0.057,nan±nan
0.3,2,3018,0.030±0.008,1.000±0.000,0.535±0.058,0.696±0.050,1.000±0.000,0.535±0.058,nan±nan
0.3,3,150,0.002±0.001,1.000±0.000,0.713±0.064,0.831±0.044,1.000±0.000,0.713±0.064,nan±nan
0.4,0,38854,0.389±0.144,0.000±0.000,0.743±0.074,0.000±0.001,0.000±0.000,0.200±0.447,0.606±0.263
0.4,1,16332,0.163±0.066,1.000±0.000,0.378±0.085,0.544±0.090,1.000±0.000,0.378±0.085,nan±nan
0.4,2,2361,0.024±0.011,1.000±0.000,0.517±0.072,0.679±0.062,1.000±0.000,0.517±0.072,nan±nan
0.4,3,116,0.001±0.001,1.000±0.000,0.717±0.058,0.834±0.040,1.000±0.000,0.717±0.058,nan±nan
