fold_id,train_size,split_protocol,seed,g1,g2,g3,y_train
4,full,gene_level_disjoint_TVT,42,b1301,b2261,b3225,0
4,full,gene_level_disjoint_TVT,42,b0368,b2481,b4382,0
4,full,gene_level_disjoint_TVT,42,b1319,b1617,b2467,0
4,full,gene_level_disjoint_TVT,42,b2515,b3603,b4015,1
4,full,gene_level_disjoint_TVT,42,b0383,b1617,b2153,1
4,full,gene_level_disjoint_TVT,42,b0356,b1476,b2895,0
4,full,gene_level_disjoint_TVT,42,b2155,b2934,b3172,1
4,full,gene_level_disjoint_TVT,42,b0512,b2530,b3478,1
4,full,gene_level_disjoint_TVT,42,b0070,b3517,b3603,0
4,full,gene_level_disjoint_TVT,42,b0070,b0350,b3475,0
4,full,gene_level_disjoint_TVT,42,b2676,b3729,b4015,1
4,full,gene_level_disjoint_TVT,42,b1225,b2393,b4088,0
4,full,gene_level_disjoint_TVT,42,b1748,b1992,b3991,1
4,full,gene_level_disjoint_TVT,42,b0638,b2536,b3360,1
4,full,gene_level_disjoint_TVT,42,b0110,b0124,b2895,0
4,full,gene_level_disjoint_TVT,42,b0048,b0493,b4193,0
4,full,gene_level_disjoint_TVT,42,b0070,b1215,b4240,1
4,full,gene_level_disjoint_TVT,42,b0895,b1011,b2738,0
4,full,gene_level_disjoint_TVT,42,b0511,b1694,b4407,1
4,full,gene_level_disjoint_TVT,42,b1215,b1617,b1748,1
4,full,gene_level_disjoint_TVT,42,b0110,b0463,b1589,0
4,full,gene_level_disjoint_TVT,42,b1134,b1319,b2415,0
4,full,gene_level_disjoint_TVT,42,b0063,b2515,b3844,1
4,full,gene_level_disjoint_TVT,42,b1091,b1476,b3426,1
4,full,gene_level_disjoint_TVT,42,b0997,b2091,b4169,0
4,full,gene_level_disjoint_TVT,42,b3058,b3849,b4298,1
4,full,gene_level_disjoint_TVT,42,b0411,b1444,b2175,0
4,full,gene_level_disjoint_TVT,42,b0099,b0344,b0612,0
4,full,gene_level_disjoint_TVT,42,b0048,b3806,b4193,0
4,full,gene_level_disjoint_TVT,42,b1189,b2293,b4169,0
4,full,gene_level_disjoint_TVT,42,b1748,b2507,b3553,1
4,full,gene_level_disjoint_TVT,42,b1474,b3397,b3714,0
4,full,gene_level_disjoint_TVT,42,b2883,b3478,b3804,1
4,full,gene_level_disjoint_TVT,42,b0822,b2049,b4015,0
4,full,gene_level_disjoint_TVT,42,b0756,b1900,b3734,0
4,full,gene_level_disjoint_TVT,42,b0149,b1301,b1390,0
4,full,gene_level_disjoint_TVT,42,b0099,b3479,b3488,0
4,full,gene_level_disjoint_TVT,42,b1854,b3734,b3916,0
4,full,gene_level_disjoint_TVT,42,b2134,b2167,b3479,0
4,full,gene_level_disjoint_TVT,42,b0512,b2033,b3182,0
4,full,gene_level_disjoint_TVT,42,b0032,b1476,b4407,1
4,full,gene_level_disjoint_TVT,42,b2091,b2530,b3849,1
4,full,gene_level_disjoint_TVT,42,b2579,b3161,b3579,0
4,full,gene_level_disjoint_TVT,42,b0593,b1277,b1651,1
4,full,gene_level_disjoint_TVT,42,b2153,b2485,b3397,1
4,full,gene_level_disjoint_TVT,42,b0003,b0368,b4474,1
4,full,gene_level_disjoint_TVT,42,b0593,b1584,b2467,0
4,full,gene_level_disjoint_TVT,42,b0638,b4139,b4544,0
4,full,gene_level_disjoint_TVT,42,b0474,b1982,b4474,0
4,full,gene_level_disjoint_TVT,42,b1678,b4153,b4214,1
4,full,gene_level_disjoint_TVT,42,b2435,b4088,b4244,0
4,full,gene_level_disjoint_TVT,42,b2132,b2293,b4154,0
4,full,gene_level_disjoint_TVT,42,b2134,b2715,b3824,0
4,full,gene_level_disjoint_TVT,42,b1476,b1682,b3397,0
4,full,gene_level_disjoint_TVT,42,b2670,b3093,b3565,0
4,full,gene_level_disjoint_TVT,42,b0612,b3517,b3909,0
4,full,gene_level_disjoint_TVT,42,b0174,b0356,b2536,1
4,full,gene_level_disjoint_TVT,42,b2049,b3714,b4298,0
4,full,gene_level_disjoint_TVT,42,b2167,b3806,b4262,1
4,full,gene_level_disjoint_TVT,42,b0103,b1694,b2436,1
4,full,gene_level_disjoint_TVT,42,b3093,b3519,b3806,0
4,full,gene_level_disjoint_TVT,42,b1588,b2877,b4390,0
4,full,gene_level_disjoint_TVT,42,b1985,b3617,b4192,0
4,full,gene_level_disjoint_TVT,42,b0180,b1682,b4117,1
4,full,gene_level_disjoint_TVT,42,b0352,b3579,b3991,1
4,full,gene_level_disjoint_TVT,42,b0509,b2507,b3475,1
4,full,gene_level_disjoint_TVT,42,b2400,b3451,b3565,1
4,full,gene_level_disjoint_TVT,42,b1317,b1985,b3488,0
4,full,gene_level_disjoint_TVT,42,b1778,b2175,b4095,0
