fold,t,n_essential,N_subset,coverage,pos_rate(y=1),Accuracy,F1_1,Precision_1,Recall_1,AUC
1,0.1,0,361090,0.6018166666666667,0.0001578553823146584,0.5465147193220526,0.0003174583793749733,0.00015878444401016222,0.45614035087719296,0.5103374911395814
2,0.1,0,384234,0.64039,8.588516372835304e-05,0.557321840336878,0.00027036875947760054,0.00013521060521442637,0.696969696969697,0.6183705293780488
3,0.1,0,402735,0.671225,0.00043949495325710456,0.53244441133748,0.0009974056841513296,0.0004991715875780619,0.5310734463276836,0.5361275659109149
4,0.1,0,393811,0.6563516666666667,0.0005230935651873614,0.6051837048736577,0.001297491730096027,0.0006496054129496588,0.49029126213592233,0.6001430701002175
5,0.1,0,379989,0.633315,8.684461918634487e-05,0.5550423828058181,0.0003783780588023152,0.00018922594760806575,0.9696969696969697,0.8818665047978442
1,0.1,1,185937,0.309895,1.0,0.5495786207156187,0.7093265399619607,1.0,0.5495786207156187,
2,0.1,1,171861,0.286435,1.0,0.6188547721705332,0.7645587273289292,1.0,0.6188547721705332,
3,0.1,1,157954,0.2632566666666667,1.0,0.5267926105068564,0.6900643962796946,1.0,0.5267926105068564,
4,0.1,1,165511,0.27585166666666666,1.0,0.47784135193431254,0.6466747615484937,1.0,0.47784135193431254,
5,0.1,1,174521,0.29086833333333334,1.0,0.556746752539809,0.7152695216887204,1.0,0.556746752539809,
1,0.1,2,31048,0.05174666666666667,1.0,0.6409108477196599,0.7811647398276641,1.0,0.6409108477196599,
2,0.1,2,24914,0.041523333333333336,1.0,0.7590912739824998,0.8630493314470862,1.0,0.7590912739824998,
3,0.1,2,20056,0.03342666666666667,1.0,0.5840646190666134,0.7374252439408246,1.0,0.5840646190666134,
4,0.1,2,22335,0.037225,1.0,0.5620326841280502,0.719617060307269,1.0,0.5620326841280502,
5,0.1,2,26386,0.043976666666666664,1.0,0.6684984461456833,0.8013174332765475,1.0,0.6684984461456833,
1,0.1,3,1742,0.0029033333333333333,1.0,0.7164179104477612,0.8347826086956522,1.0,0.7164179104477612,
2,0.1,3,1142,0.0019033333333333333,1.0,0.8607705779334501,0.9251764705882354,1.0,0.8607705779334501,
3,0.1,3,844,0.0014066666666666667,1.0,0.6291469194312796,0.7723636363636365,1.0,0.6291469194312796,
4,0.1,3,948,0.00158,1.0,0.6466244725738397,0.7853939782190904,1.0,0.6466244725738397,
5,0.1,3,1304,0.0021733333333333335,1.0,0.7668711656441718,0.8680555555555556,1.0,0.7668711656441718,
1,0.2,0,347429,0.5790483333333334,0.00015830572577418695,0.54820409349824,0.00031843685715559456,0.00015927421923777729,0.45454545454545453,0.5110169704436979
2,0.2,0,371301,0.618835,8.618344685309223e-05,0.5591932152081465,0.000280970937832126,0.0001405129332991215,0.71875,0.616961522507939
